Sales,Profit,Order Year
49.536,17.3376,2018
41.9,8.799,2018
375.4575,-157.0095,2018
83.976,-1.0497,2018
482.34,-337.638,2018
2.96,0.777,2018
2.624,0.4264,2018
23.36,7.884,2018
39.98,13.5932,2018
246.384,27.7182,2018
1799.97,701.9883,2018
12.462,-20.5623,2018
75.792,25.5798,2018
49.96,9.4924,2018
12.96,6.2208,2018
70.12,21.036,2018
35.952,3.5952,2018
2396.2656,-317.1528,2018
131.136,-32.784,2018
57.584,0.7198,2016
9.568,3.4684,2014
39.072,9.768,2014
35.91,9.6957,2017
179.95,37.7895,2017
1199.976,434.9913,2017
27.15,13.3035,2017
1004.024,-112.9527,2017
9.68,4.6464,2017
28.35,13.608,2017
55.98,27.4302,2017
1336.829,31.4548,2017
113.568,-18.4548,2017
139.86,65.7342,2017
307.136,26.8744,2017
95.92,25.8984,2017
383.8,38.38,2016
5.78,2.8322,2017
9.32,2.7028,2017
15.25,7.015,2017
196.752,56.5662,2014
56.56,14.7056,2017
32.7,8.502,2017
866.4,225.264,2017
28.4,11.076,2017
287.92,138.2016,2017
69.99,30.0957,2014
6.672,0.5004,2017
189.588,-145.3508,2016
408.744,76.6395,2016
291.96,54.7425,2016
4.768,-0.7748,2016
714.3,207.147,2016
4.812,-3.6892,2014
247.8,-18.585,2014
1007.979,43.1991,2016
313.488,113.6394,2016
31.872,11.5536,2017
207.846,2.3094,2017
12.22,3.666,2016
194.94,23.3928,2016
70.95,20.5755,2016
91.36,42.0256,2016
242.94,29.1528,2016
22.05,10.584,2016
2.91,1.3677,2017
59.52,15.4752,2016
161.94,9.7164,2016
263.88,71.2476,2016
30.48,7.9248,2016
9.84,2.8536,2016
35.12,9.1312,2016
284.364,-75.8304,2017
665.408,66.5408,2017
63.88,24.9132,2016
129.568,-24.294,2014
747.558,-96.1146,2016
8.928,3.348,2016
103.92,36.372,2015
899.91,377.9622,2015
51.312,18.6006,2015
23.56,7.068,2016
1272.63,-814.4832,2016
28.485,-20.889,2016
185.376,-34.758,2016
78.272,5.8704,2016
254.744,-312.0614,2015
205.3328,-36.2352,2017
4.788,-7.9002,2016
55.48,26.6304,2015
340.92,3.4092,2014
222.666,10.4784,2014
703.968,87.996,2014
92.52,24.9804,2014
62.65,28.819,2014
94.85,45.528,2014
95.76,7.182,2016
40.2,19.296,2016
14.7,6.615,2016
704.25,84.51,2016
9.09,1.9089,2014
5.96,1.6688,2014
159.98,57.5928,2014
29.6,14.8,2017
514.165,-30.245,2017
279.96,17.4975,2017
2735.952,341.994,2014
7.992,0.5994,2014
63.984,10.3974,2014
70.368,6.1572,2014
449.15,8.983,2014
11.07,5.0922,2014
93.98,13.1572,2016
189.882,-94.941,2016
105.42,51.6558,2015
119.616,40.3704,2016
255.76,81.8432,2016
241.568,18.1176,2016
69.3,22.869,2016
22.62,-15.08,2016
14.952,-11.9616,2016
801.568,50.098,2016
2.376,-1.9008,2016
32.792,11.8871,2016
15.92,5.373,2017
2.74,0.7398,2015
8.34,2.1684,2015
46.74,11.685,2015
6354.95,3177.475,2015
126.3,40.416,2017
38.04,12.1728,2017
7.152,0.7152,2016
6.63,1.7901,2017
5.88,1.7052,2017
2999.95,1379.977,2017
51.45,13.8915,2017
11.96,5.382,2017
1126.02,56.301,2017
18.392,5.2877,2015
129.568,-25.9136,2015
14.112,-21.168,2015
210.98,21.098,2017
55.176,-12.4146,2016
66.26,27.1666,2016
22.2,10.434,2015
683.952,42.747,2017
45.696,5.1408,2017
36.336,-7.2672,2015
666.248,-149.9058,2015
52.512,19.692,2015
190.72,11.92,2015
47.94,2.397,2017
979.95,274.386,2016
22.75,11.375,2016
16.768,1.4672,2016
42.616,-68.1856,2017
10.752,3.36,2015
152.94,41.2938,2015
283.92,70.98,2015
468.9,206.316,2014
380.864,38.0864,2016
646.776,-145.5246,2015
58.112,7.264,2014
100.792,6.2995,2014
66.112,-84.2928,2014
41.28,13.932,2017
13.36,6.4128,2017
250.272,15.642,2015
11.364,-17.046,2015
8.72,-1.744,2015
1121.568,0,2016
34.504,6.0382,2017
10.824,2.5707,2017
1295.78,310.9872,2017
19.456,3.4048,2014
20.7,9.936,2016
1335.68,-217.048,2016
32.4,15.552,2016
42.6,16.614,2017
84.056,27.3182,2017
13,1.3,2014
13.128,3.7743,2014
3.96,0,2015
2.61,1.2006,2015
374.376,46.797,2017
91.84,45.0016,2017
81.088,27.3672,2017
19.44,9.3312,2017
451.152,0,2017
72.45,34.776,2017
13.96,6.4216,2017
33.264,11.2266,2017
14.85,4.0095,2017
8.82,2.3814,2016
160.72,78.7528,2015
19.92,9.7608,2015
7.3,2.19,2015
69.712,8.714,2017
8.792,-5.7148,2017
51.52,1.5456,2015
470.376,52.9173,2017
105.584,9.2386,2017
31.152,3.5046,2017
6.783,-4.7481,2017
406.368,30.4776,2017
70.98,4.9686,2015
294.93,144.5157,2015
84.784,-20.1362,2016
20.736,7.2576,2016
16.821,-12.8961,2016
10.368,3.6288,2016
9.344,1.168,2014
31.2,9.75,2014
76.12,22.0748,2014
1199.976,434.9913,2014
445.96,55.745,2014
327.76,91.7728,2014
11.632,1.0178,2016
143.982,-28.7964,2016
494.376,-115.3544,2016
5.84,0.73,2016
142.776,17.847,2014
45.696,5.1408,2014
7.218,-5.5338,2014
43.188,-31.6712,2014
131.904,47.8152,2014
3.282,-2.6256,2014
21.168,2.3814,2014
55.188,-10.1178,2014
369.576,41.5773,2016
15.712,5.6956,2016
8.448,2.64,2016
728.946,-157.9383,2016
119.94,15.992,2017
3.648,-2.7968,2017
40.48,15.7872,2017
9.94,3.0814,2017
107.424,33.57,2017
37.91,10.9939,2017
88.02,27.2862,2017
8.69,-14.773,2014
301.96,87.5684,2015
555.21,178.901,2015
523.48,130.87,2015
161.82,46.9278,2015
35.56,12.0904,2017
97.16,28.1764,2017
15.24,5.1435,2017
13.23,6.0858,2017
243.384,-51.7191,2016
119.8,29.95,2016
300.768,30.0768,2016
17.88,2.4585,2017
235.944,85.5297,2017
392.94,43.2234,2015
18.882,-13.8468,2016
122.328,12.2328,2016
1049.2,272.792,2016
15.424,5.0128,2016
18.84,6.0288,2016
330.4,85.904,2017
26.25,12.6,2017
132.52,54.3332,2017
6.48,3.1752,2017
209.3,56.511,2017
31.56,9.8625,2016
30.144,3.0144,2016
14.8,6.068,2016
302.376,22.6782,2016
316,31.6,2016
379.4,178.318,2016
97.82,45.9754,2017
103.12,10.312,2017
113.552,8.5164,2016
3.318,-2.6544,2016
134.288,45.3222,2016
701.372,-50.098,2016
2.308,-3.462,2016
999.432,124.929,2015
724.08,-135.765,2015
918.785,-118.1295,2015
2.724,-4.2222,2015
459.95,18.398,2016
10.74,5.2626,2016
23.76,2.079,2017
85.056,28.7064,2017
381.576,28.6182,2017
30.36,8.7285,2014
23.976,-14.3856,2017
108.925,-71.8905,2017
36.352,11.36,2017
19.56,1.7115,2017
61.44,16.5888,2017
38.9,17.505,2017
99.39,40.7499,2017
2.688,-7.392,2017
27.816,4.5201,2017
82.524,-41.262,2017
182.994,-320.2395,2017
14.352,4.6644,2016
64.96,2.5984,2016
68.6,18.522,2016
7999.98,-3839.9904,2017
167.44,14.651,2017
479.97,163.1898,2014
14.62,6.8714,2014
19.44,9.3312,2014
191.984,4.7996,2017
104.01,14.5614,2014
284.82,74.0532,2014
36.84,10.3152,2014
166.24,24.936,2015
33.4,16.032,2015
198.272,17.3488,2015
47.36,17.76,2015
200.984,62.8075,2015
97.696,31.7512,2015
2.696,0.8088,2015
18.588,-13.6312,2015
4.896,-3.4272,2015
15.072,4.1448,2017
209.88,35.6796,2016
369.912,-13.8717,2015
10.368,3.6288,2014
166.84,18.7695,2014
15.216,2.2824,2014
119.96,52.7824,2014
883.92,-110.49,2014
46.72,15.768,2014
55.48,26.6304,2014
24.448,8.8624,2017
281.34,109.7226,2017
307.98,89.3142,2017
299.97,113.9886,2017
19.92,6.972,2014
9.94,3.0814,2014
103.056,24.4758,2017
59.808,19.4376,2014
73.32,21.996,2014
146.82,73.41,2016
1652.94,231.4116,2016
296.37,80.0199,2016
129.92,21.112,2014
45.584,5.1282,2016
17.568,6.3684,2017
55.992,5.5992,2017
182.72,84.0512,2016
400.032,-153.3456,2016
33.63,10.089,2016
542.646,102.4998,2016
6.3,3.024,2016
242.94,9.7176,2018
179.97,86.3856,2018
99.696,33.6474,2018
27.936,9.4284,2018
84.98,18.6956,2018
18.72,6.552,2017
49.98,8.4966,2014
11.784,4.2717,2014
272.736,-64.7748,2014
3.54,-5.487,2014
51.52,-10.948,2016
3.528,1.1466,2016
4.624,1.6762,2016
55.168,6.2064,2016
567.12,-28.356,2014
359.32,7.1864,2014
11.992,0.8994,2016
58.05,26.703,2017
157.74,56.7864,2017
56.98,22.792,2017
2.88,1.4112,2017
1199.976,374.9925,2016
79.92,28.7712,2015
383.438,-167.3184,2016
24.56,6.8768,2014
119.8,47.92,2014
13.128,4.2666,2017
22.72,10.224,2017
58.32,27.9936,2015
12.39,5.6994,2017
107.982,-26.9955,2015
11.36,5.3392,2014
50.94,25.47,2014
646.74,258.696,2014
5.64,2.7072,2014
572.58,34.3548,2014
310.88,23.316,2014
641.96,179.7488,2016
18.28,9.14,2017
207,51.75,2017
32.35,16.175,2017
7.71,3.4695,2017
40.3,10.881,2017
34.58,14.5236,2017
32.76,3.6855,2014
544.008,40.8006,2015
59.94,28.1718,2015
23.92,11.7208,2015
4.28,1.926,2015
32.07,-22.449,2015
24,-2.7,2015
35.49,-15.6156,2015
47.984,0.5998,2015
186.69,87.7443,2015
17.456,5.8914,2017
348.928,34.8928,2018
143.96,69.1008,2018
15.42,4.1634,2018
43.04,21.0896,2018
332.94,79.9056,2018
1363.96,85.2475,2016
9.96,4.5816,2014
21.72,10.6428,2014
20.16,9.8784,2017
132.79,63.7392,2015
12.96,6.2208,2015
21.56,10.3488,2015
283.92,17.745,2015
22.23,7.3359,2017
215.968,18.8972,2017
355.32,99.4896,2016
12.96,6.2208,2016
18.28,6.2152,2017
43.176,4.3176,2014
1983.968,247.996,2014
28.4,11.076,2015
149.97,50.9898,2015
11.52,3.2256,2014
1298.55,311.652,2014
213.92,62.0368,2014
25.78,2.578,2014
18.28,6.2152,2017
1399.93,601.9699,2017
51.84,24.8832,2015
5.344,1.8704,2016
41.472,14.5152,2014
3.168,-2.4288,2014
1228.465,0,2014
31.086,-22.7964,2014
335.52,117.432,2014
239.97,71.991,2017
9.82,4.8118,2017
67.8,4.068,2014
167.97,40.3128,2014
35,16.8,2017
37.24,10.7996,2017
15.28,7.4872,2017
301.96,90.588,2017
180.66,50.5848,2017
191.98,51.8346,2017
65.99,17.1574,2017
35.216,2.6412,2016
23.696,6.5164,2016
265.475,-111.4995,2016
51.184,-79.3352,2014
9.664,3.2616,2017
21.072,1.5804,2016
60.45,16.3215,2015
11.52,3.3408,2015
186.048,9.3024,2015
37.44,11.7,2016
26.976,8.7672,2016
11.36,3.2944,2016
14.62,6.8714,2016
83.72,23.4416,2015
287.94,77.7438,2015
48.896,8.5568,2017
115.36,49.6048,2014
5.16,1.3416,2016
38.88,18.6624,2016
185.88,50.1876,2016
44.46,14.6718,2016
242.94,9.7176,2016
39.96,18.7812,2014
102.3,26.598,2014
21.36,5.7672,2014
7.61,3.5767,2017
7.16,3.58,2017
7.36,0.1472,2014
23.1,10.626,2014
191.472,40.6878,2016
5.248,0.5904,2016
59.184,5.1786,2016
2.89,1.3583,2014
51.94,21.2954,2014
15.936,5.1792,2016
44.91,-35.928,2014
1141.47,-760.98,2016
280.782,-46.797,2016
34.44,17.22,2015
11.36,5.2256,2014
106.344,37.2204,2014
192.16,67.256,2017
322.59,64.518,2016
29.99,13.1956,2016
371.97,66.9546,2016
5.892,-4.1244,2014
68.472,23.1093,2017
1242.9,262.39,2017
30.84,8.3268,2015
13.48,5.9312,2017
31.4,10.048,2016
17.46,5.9364,2014
13.944,4.5318,2015
83.76,1.6752,2017
37.66,18.4534,2017
34.68,16.9932,2014
149.95,14.995,2017
51.312,18.6006,2017
4.54,2.043,2017
15.92,5.4128,2017
543.92,135.98,2017
155.82,42.0714,2016
70.008,24.5028,2016
15.648,5.0856,2016
103.6,51.8,2014
46.96,22.5408,2017
8.904,-6.5296,2016
10.44,3.393,2017
18.336,-32.088,2017
323.976,20.2485,2017
20.04,9.6192,2016
64.96,2.5984,2016
12.96,6.2208,2016
323.136,12.1176,2017
90.93,2.7279,2017
52.776,19.791,2017
1199.8,323.946,2017
1928.78,829.3754,2017
352.38,81.0474,2017
22.2,9.102,2015
46.94,19.2454,2017
143.73,56.0547,2017
99.918,-18.5562,2014
797.944,-56.996,2014
8.568,-14.5656,2014
149.352,50.4063,2016
12.992,-0.812,2016
24.56,6.8768,2014
85.14,34.9074,2015
21.99,10.5552,2015
406.6,113.848,2015
841.568,294.5488,2016
15.552,5.4432,2014
252,53.55,2014
46.2,12.936,2015
28.84,9.5172,2015
14.592,2.5536,2017
89.856,21.3408,2017
13.872,5.0286,2017
12.192,4.1148,2017
45.056,15.2064,2016
29.718,-21.7932,2016
15.552,5.4432,2016
447.696,33.5772,2016
159.99,54.3966,2017
12.96,6.2208,2015
134.48,34.9648,2015
17.12,8.0464,2016
6.096,2.2098,2016
1114.272,41.7852,2016
32.4,15.552,2015
540.57,140.5482,2015
167.76,62.91,2015
393.165,-204.4458,2015
516.488,-12.9122,2017
1007.232,75.5424,2017
2065.32,-619.596,2017
15.552,5.4432,2017
25.344,7.92,2017
25.472,7.6416,2017
27.168,2.7168,2017
78.8528,-11.596,2017
173.8,43.45,2017
29.592,2.5893,2017
4.752,-3.168,2017
15.552,5.6376,2017
204.6,53.196,2015
321.568,28.1372,2017
6.24,3.0576,2015
21.88,10.94,2016
4.608,1.6704,2014
9.82,4.8118,2017
35.97,9.7119,2017
12.96,6.2208,2017
191.6,91.968,2017
8.64,4.2336,2017
501.81,0,2017
127.104,28.5984,2014
124.2,-31.05,2014
18.588,-13.6312,2014
30.072,10.1493,2014
160.93,3.2186,2017
75.792,25.5798,2017
1.08,-0.792,2017
3059.982,679.996,2017
3.282,-2.6256,2016
34.02,16.6698,2015
599.292,93.2232,2016
3.392,0.8056,2014
559.984,55.9984,2014
603.92,75.49,2014
7.968,2.5896,2017
27.968,9.4392,2017
336.51,44.868,2017
1.112,-1.8904,2015
520.05,72.807,2017
17.97,5.2113,2017
1166.92,131.2785,2015
14.624,5.484,2016
10.23,4.9104,2016
154.9,69.705,2016
2715.93,1276.4871,2014
617.97,173.0316,2014
10.67,4.9082,2015
36.63,9.8901,2015
24.1,9.158,2015
33.11,12.9129,2015
44.02,11.4452,2016
2309.65,762.1845,2015
1090.782,-290.8752,2015
19.44,9.3312,2015
484.65,92.0835,2015
115.296,40.3536,2015
7.08,2.478,2015
4.401,-3.5208,2015
44.75,20.585,2017
95.984,5.999,2017
151.72,27.3096,2014
155.25,46.575,2017
14.03,4.0687,2017
1618.37,356.0414,2015
99.6,36.852,2015
32.4,15.552,2015
13.96,6.7008,2015
155.82,63.8862,2015
124.95,2.499,2015
601.65,156.429,2015
22.74,8.8686,2015
1267.53,316.8825,2015
1379.92,648.5624,2015
6.208,2.1728,2015
11.808,4.2804,2017
15.552,5.4432,2016
63.312,20.5764,2016
15.588,-9.8724,2016
177.2,83.284,2014
197.97,57.4113,2014
854.94,213.735,2014
124.11,52.1262,2014
14.4,7.056,2014
15.696,5.1012,2016
2.628,-1.9272,2016
14.427,-10.5798,2016
86.62,8.662,2016
36.624,13.734,2015
23.968,2.6964,2017
28.728,1.7955,2017
697.16,146.4036,2016
31.86,11.151,2016
722.352,90.294,2016
8.84,2.9835,2017
58.464,-146.16,2017
254.604,-18.186,2017
1363.96,85.2475,2016
102.36,-3.8385,2016
1113.504,125.2692,2014
99.99,37.9962,2014
168.464,-29.4812,2015
6.72,2.436,2015
282.888,56.5776,2015
11.16,4.3524,2015
108.4,22.764,2015
82.344,27.7911,2015
9.088,3.2944,2015
19.936,7.2268,2017
65.568,22.9488,2017
4.416,1.6008,2016
107.772,-29.2524,2015
45.216,4.5216,2015
10.416,-2.2134,2015
7.872,1.2792,2015
118.782,-27.7158,2015
1.448,0.2353,2015
55.47,-46.225,2015
194.848,12.178,2016
1.744,-0.3488,2017
25.176,-18.4624,2015
19.46,5.0596,2015
29.472,9.9468,2016
8.64,3.024,2017
6.27,-4.598,2016
4.368,-3.3488,2016
31.984,1.999,2016
40.88,10.6288,2016
119.96,33.5888,2017
31.44,8.4888,2017
6.88,2.322,2017
19.92,9.3624,2015
1106.91,121.7601,2015
836.592,-264.9208,2016
26.38,12.1348,2016
362.92,105.2468,2016
4899.93,2400.9657,2016
6.48,3.1104,2016
71.976,7.1976,2016
3.15,1.512,2016
31.984,1.999,2017
71.984,25.1944,2017
120.15,33.642,2015
219.184,19.1786,2015
28.9,14.161,2015
355.96,103.2284,2015
348.208,30.4682,2017
35.784,-28.6272,2017
447.84,11.196,2014
7.04,2.0416,2016
8.73,4.1031,2016
29.29,9.6657,2016
8.64,2.5056,2016
2.694,-4.7145,2017
2.934,-4.9878,2017
22.92,11.2308,2016
100.704,-16.3644,2016
2.328,-0.7566,2016
10.78,-17.248,2016
58.368,21.888,2016
40.968,13.8267,2016
71.96,25.186,2016
10.368,3.6288,2016
1.192,-2.0264,2016
46.672,16.3352,2017
119.833,-12.6882,2017
119.98,57.5904,2017
6.3,3.024,2016
279.9,137.151,2018
619.95,111.591,2018
4.36,2.0492,2018
15.28,7.4872,2018
699.93,181.9818,2014
22.96,6.6584,2014
38.6,11.58,2014
6.63,1.7901,2014
23.34,10.9698,2014
1067.94,224.2674,2014
10.16,2.6416,2015
101.88,50.94,2015
343.92,75.6624,2016
40.99,20.0851,2016
63.9,28.755,2016
19.44,9.3312,2016
124.608,-23.364,2016
7.56,2.646,2016
85.224,7.4571,2016
287.52,129.384,2016
37.68,10.5504,2016
19.98,8.991,2016
20.58,5.5566,2016
17.38,8.69,2016
204.6,53.196,2014
8.72,2.8776,2014
6.48,3.1104,2014
686.32,223.054,2014
62.18,16.7886,2014
644.076,107.346,2015
5.84,2.628,2015
12.76,5.8696,2015
10.95,0.438,2015
599.98,209.993,2015
8.352,1.2528,2015
3.64,1.638,2016
159.768,53.9217,2016
122.48,0,2014
2244.48,493.7856,2014
62.31,29.2857,2014
455.1,100.122,2014
195.184,19.5184,2016
362.94,90.735,2017
11.54,5.77,2017
53.94,15.6426,2014
9.99,4.5954,2014
125.76,40.872,2014
25.32,9.1785,2014
46.8,21.06,2014
447.93,49.2723,2015
109.48,33.9388,2017
272.94,0,2017
19.44,9.3312,2017
31.92,8.2992,2017
22.38,10.7424,2014
16.52,5.5755,2014
5.176,-7.764,2015
